source filepath,destination filepath
s3://cmgp-coastcam/cameras/barter/products/1530932400.c1.snap.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530932400.c1.snap.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932400.c2.snap.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530932400.c2.snap.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932401.c1.timex.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530932401.c1.timex.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932401.c2.timex.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530932401.c2.timex.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932402.c1.var.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530932402.c1.var.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932402.c2.var.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530932402.c2.var.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932403.c1.bright.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530932403.c1.bright.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932403.c2.bright.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530932403.c2.bright.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932404.c1.dark.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530932404.c1.dark.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932404.c2.dark.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530932404.c2.dark.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932405.c1.rundark.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530932405.c1.rundark.jpg
s3://cmgp-coastcam/cameras/barter/products/1530932405.c2.rundark.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530932405.c2.rundark.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934200.c1.snap.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530934200.c1.snap.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934200.c2.snap.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530934200.c2.snap.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934201.c1.timex.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530934201.c1.timex.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934201.c2.timex.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530934201.c2.timex.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934202.c1.var.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530934202.c1.var.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934202.c2.var.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530934202.c2.var.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934203.c1.bright.jpg,s3://cmgp-coastcam/cameras/barter/c1/2018/188_Jul.07/raw/1530934203.c1.bright.jpg
s3://cmgp-coastcam/cameras/barter/products/1530934203.c2.bright.jpg,s3://cmgp-coastcam/cameras/barter/c2/2018/188_Jul.07/raw/1530934203.c2.bright.jpg
