source filepath,destination filepath
s3://cmgp-coastcam/cameras/whidbey/products/1526763600.c1.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526763600.c1.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763600.c2.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526763600.c2.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763601.c1.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526763601.c1.timex.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763601.c2.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526763601.c2.timex.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763602.c1.var.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526763602.c1.var.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763602.c2.var.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526763602.c2.var.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763603.c1.bright.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526763603.c1.bright.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763603.c2.bright.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526763603.c2.bright.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763604.c1.dark.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526763604.c1.dark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763604.c2.dark.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526763604.c2.dark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763605.c1.rundark.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526763605.c1.rundark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526763605.c2.rundark.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526763605.c2.rundark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765400.c1.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526765400.c1.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765400.c2.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526765400.c2.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765401.c1.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526765401.c1.timex.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765401.c2.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526765401.c2.timex.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765402.c1.var.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526765402.c1.var.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765402.c2.var.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526765402.c2.var.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765403.c1.bright.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526765403.c1.bright.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765403.c2.bright.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526765403.c2.bright.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765404.c1.dark.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526765404.c1.dark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765404.c2.dark.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526765404.c2.dark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765405.c1.rundark.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526765405.c1.rundark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526765405.c2.rundark.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526765405.c2.rundark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767200.c1.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526767200.c1.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767200.c2.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526767200.c2.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767201.c1.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526767201.c1.timex.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767201.c2.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526767201.c2.timex.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767202.c1.var.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526767202.c1.var.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767202.c2.var.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526767202.c2.var.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767203.c1.bright.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526767203.c1.bright.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767203.c2.bright.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526767203.c2.bright.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767204.c1.dark.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526767204.c1.dark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767204.c2.dark.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526767204.c2.dark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767205.c1.rundark.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526767205.c1.rundark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526767205.c2.rundark.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526767205.c2.rundark.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526769000.c1.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526769000.c1.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526769000.c2.snap.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526769000.c2.snap.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526769001.c1.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c1/2018/139_May.19/raw/1526769001.c1.timex.jpg
s3://cmgp-coastcam/cameras/whidbey/products/1526769001.c2.timex.jpg,s3://cmgp-coastcam/cameras/whidbey/c2/2018/139_May.19/raw/1526769001.c2.timex.jpg
